"orig","dest","distance"
"U02275","U99971",4.79773483423056
"U02275","U53900",4.83103025816534
"U02275","U01630",4.96038637132025
"U02275","U94009",5.14507336248141
"U02275","U16428",5.26470049873054
"U02275","U09643",5.56223911997402
"U02275","U38271",5.60482599414775
"U02275","U42152",5.66147289015899
"U02275","U93998",5.698099309981
"U02275","U21926",5.70413436139978
"U02453","U04545",5.01135327775962
"U02453","U12376",5.08405644884106
"U02453","U40593",5.17858380987748
"U02453","U58673",5.17973153444858
"U02453","U17794",5.31662493162325
"U02453","U27258",5.33574263040094
"U02453","U12754",5.4636611162302
"U02453","U22426",5.46883033852438
"U02453","U88179",5.58779043396791
"U02453","U64748",5.62072510684665
"U02454","U61963",4.46364980244556
"U02454","U71206",5.25390504349114
"U02454","U97650",5.32568906094986
"U02454","U45842",5.88439302294473
"U02454","U42154",6.10620736451005
"U02454","U62360",6.15644808261073
"U02454","U52546",6.25858998336327
"U02454","U73458",6.3814993712659
"U02454","U00070",6.38727655750749
"U02454","U12920",6.44171605144195
"U02610","U66785",5.51752231769177
"U02610","U11625",5.57393412014807
"U02610","U10684",5.94559028474264
"U02610","U60113",5.9552148299422
"U02610","U21059",6.01781597349611
"U02610","U37412",6.07246169305416
"U02610","U50322",6.29389830425934
"U02610","U76032",6.52434504469843
"U02610","U09275",6.65231642429049
"U02610","U24883",6.76138721806989
"U02669","U23710",4.17874474852983
"U02669","U82536",4.21915894112998
"U02669","U13956",4.47787302178512
"U02669","U52802",4.71934228131383
"U02669","U90977",4.76354821861411
"U02669","U25572",4.76514865717507
"U02669","U61347",4.77528979817227
"U02669","U34230",4.78541314193513
"U02669","U23862",4.80002473748407
"U02669","U93148",4.83624372782564
"U02671","U85257",3.4835012351051
"U02671","U85008",4.12803446311661
"U02671","U07032",4.5999431833258
"U02671","U89141",4.91233510330957
"U02671","U14646",5.1765051725403
"U02671","U99055",5.22774606722196
"U02671","U52297",5.36812524090889
"U02671","U87170",5.37161645332561
"U02671","U36780",5.41350634477506
"U02671","U09529",5.48211691142591
"U02678","U35724",4.69693110142901
"U02678","U45611",5.16411137679524
"U02678","U10386",5.23294477152753
"U02678","U85198",5.46107814039582
"U02678","U81405",5.49294094598255
"U02678","U94460",5.50321908409159
"U02678","U12200",5.51799241365502
"U02678","U31847",5.53565051709744
"U02678","U74074",5.56883739824364
"U02678","U21926",5.64815632106739
"U02731","U80186",3.44959948747775
"U02731","U71643",4.35798111991714
"U02731","U57480",4.93764812866526
"U02731","U25656",5.50065061408391
"U02731","U79408",5.56323820948181
"U02731","U93843",5.60641484022607
"U02731","U37296",5.61457365463604
"U02731","U67149",5.6518615976813
"U02731","U94009",5.84608781758417
"U02731","U20349",5.89550530913368
"U02739","U64597",5.23266673314492
"U02739","U96127",5.45735434110957
"U02739","U68552",5.47099884919565
"U02739","U79310",5.50604436802902
"U02739","U82612",5.50701777722226
"U02739","U04443",5.6351657810752
"U02739","U37388",5.67261142635645
"U02739","U30913",5.69578450955127
"U02739","U25799",5.79502911341923
"U02739","U90977",5.80952671904463
"U02749","U27515",4.81961736542056
"U02749","U09072",5.03633048127617
"U02749","U14062",5.04727303094492
"U02749","U09187",5.20544080216122
"U02749","U06387",5.21794307799307
"U02749","U64748",5.22975709257254
"U02749","U58673",5.32624983758252
"U02749","U67133",5.37399889002691
"U02749","U98548",5.38586001765221
"U02749","U82789",5.39569519607426
"U02795","U60337",3.56158571929193
"U02795","U87168",3.59675977302314
"U02795","U15334",4.28900564178559
"U02795","U73163",4.44476340329272
"U02795","U53896",4.53183562867085
"U02795","U40100",5.10591181499202
"U02795","U36795",5.12207800049481
"U02795","U07169",5.20593599024943
"U02795","U83457",5.38869207279718
"U02795","U46593",5.43616436452367
"U02961","U14482",5.52196893591039
"U02961","U12548",5.92302003314853
"U02961","U18398",6.17393992491904
"U02961","U62360",6.67351630614445
"U02961","U52461",7.11335265160141
"U02961","U83457",7.28859979276428
"U02961","U87168",7.41499040055374
"U02961","U81324",7.44447875661241
"U02961","U81960",7.59871326332681
"U02961","U73458",7.6119215570926
"U03055","U90174",5.66687703569541
"U03055","U92125",5.88327814835133
"U03055","U52261",6.12449883148848
"U03055","U47228",6.20228885210526
"U03055","U09187",6.20730746456152
"U03055","U52694",6.21394055160143
"U03055","U58673",6.41329641408322
"U03055","U23620",6.42147684474063
"U03055","U19031",6.45916155595165
"U03055","U53612",6.49382662289953
"U03153","U48026",7.34996402121377
"U03153","U65853",7.37918118893627
"U03153","U47242",7.41794772211147
"U03153","U30256",7.47807455628284
"U03153","U60510",7.58996820982168
"U03153","U31169",8.15316811993765
"U03153","U18986",8.27517281867353
"U03153","U06438",8.44118422650106
"U03153","U40159",8.46781798568443
"U03153","U36231",8.46945760799806
